,Min_size,Mean_dice,FP,FN
0,0,0.6850207480255112,5.777872052644428,6.27002574623108
1,5,0.6853027377793504,0.46318947368421054,0.5232000000000001
2,10,0.6857476163522557,0.4617368421052633,0.5405800000000001
3,20,0.6856796905510345,0.4564421052631579,0.63568
4,40,0.6532703161856758,0.44815789473684203,0.73906
5,80,0.6212028955254744,0.42696842105263155,0.93426
