,image,DICE,challenge_FP,challenge_FN
0,PETCT_b1219c408b_10042002.nii.gz,0.7051435406698564,0.0,32.50838778305054
1,PETCT_ca89066e44_08112005.nii.gz,0.6601856908793009,0.0,0.024882041931152343
2,PETCT_a3ce52b2a8_11152003.nii.gz,0.0,2.9485219688415527,0.0
3,PETCT_99e5728030_04182002.nii.gz,0.7136581272520854,46.86532597732544,2.724583591461182
4,PETCT_68ef307665_05162003.nii.gz,0.0,1.0699278030395507,0.0
5,PETCT_f144b214af_02232001.nii.gz,0.8413314089843045,12.11755442047119,0.024882041931152343
6,PETCT_e69152b6b4_01262004.nii.gz,0.6552878401219634,2.5628503189086915,25.665826251983642
7,PETCT_4a72eeb991_12232005.nii.gz,,0.0,0.0
8,PETCT_89fb723947_09032000.nii.gz,0.8560086167102631,0.19905633544921875,2.4259990882873534
9,PETCT_562294be56_04282003.nii.gz,0.0,1.7168608932495117,0.0
10,PETCT_824c6a0014_12182005.nii.gz,0.0,8.833124885559082,0.0
11,PETCT_661ddc60e0_03082002.nii.gz,0.8697674418604651,0.0,0.0
12,PETCT_4760c0139a_01262006.nii.gz,,0.0,0.0
13,PETCT_2922971d0f_07192003.nii.gz,0.0,85.60666526412963,0.0
14,PETCT_d7ca3d4aaa_07052003.nii.gz,0.5441176470588235,0.2737024612426758,0.0
15,PETCT_c7dc6f848c_02022006.nii.gz,0.0,30.58002953338623,0.0
16,PETCT_2f587d00b1_09272004.nii.gz,0.0,7.999576480865478,0.0
17,PETCT_277fc3c67c_11152003.nii.gz,0.0,33.65296171188354,0.0
18,PETCT_c58b637e17_06112005.nii.gz,0.0,0.7837843208312988,0.0
19,PETCT_ed7abf4433_12062002.nii.gz,0.0,5.399403099060058,0.0
20,PETCT_8de70b5cd7_07222002.nii.gz,0.0,2.2891478576660154,0.0
21,PETCT_572fca6b44_05232005.nii.gz,0.0,0.49764083862304687,0.0
22,PETCT_ed9fa4eff1_05112001.nii.gz,0.5301327067368028,120.16782150650025,30.069947673797607
23,PETCT_a3ce52b2a8_10192002.nii.gz,,0.0,0.0
24,PETCT_08cdb15e0b_11212003.nii.gz,0.7086978898610397,1.1445739288330077,11.134713764190673
25,PETCT_cb83710e3d_03102006.nii.gz,,0.0,0.0
26,PETCT_76ebd5c736_12292005.nii.gz,0.38461538461538464,0.19905633544921875,0.796225341796875
27,PETCT_ea051a3e6c_10222004.nii.gz,0.6314450584591504,3.3715166816711424,207.1678811187744
28,PETCT_cc5c58c82d_07262001.nii.gz,0.9278084165548766,0.0,0.14929225158691406
29,PETCT_62a78a061f_08292005.nii.gz,,0.0,0.0
30,PETCT_61348439bf_07242005.nii.gz,0.3232526038398795,30.766644847869873,27.19607183074951
31,PETCT_2745fb1adb_12212002.nii.gz,,0.0,0.0
32,PETCT_0dbf2c2731_10272005.nii.gz,,0.0,0.0
33,PETCT_5a58935b68_12062002.nii.gz,0.7064300901825648,81.09057465362548,7.066499908447265
34,PETCT_642d6c78d6_09102005.nii.gz,,0.0,0.0
35,PETCT_29b372cb99_11172006.nii.gz,0.0,1.2565431175231934,0.0
36,PETCT_02ba7e20f5_10122001.nii.gz,0.7068273092369478,0.4603177757263184,0.9206355514526368
37,PETCT_4e3d83bfe3_09292003.nii.gz,,0.0,0.0
38,PETCT_bdd21f5590_09142003.nii.gz,0.9037952338923213,0.0,0.0
39,PETCT_9837205b34_09012002.nii.gz,0.698084100522518,50.647396350860596,0.0
40,PETCT_0f44cec2e6_09072003.nii.gz,0.013069383048241399,58.65941385269165,1.2689841384887695
41,PETCT_642d6c78d6_05022005.nii.gz,0.9132432217117668,23.27715022659302,4.068213855743408
42,PETCT_7cfaf65584_10282006.nii.gz,0.0,2.848993801116943,0.0
43,PETCT_05d5a79faf_02252005.nii.gz,0.0,0.49764083862304687,0.0
44,PETCT_3ba0277c0c_04262007.nii.gz,0.08843537414965986,6.593741111755371,0.0
45,PETCT_e6b8b963b2_12222006.nii.gz,0.0,0.9952816772460937,0.0
46,PETCT_58f276897e_06192005.nii.gz,0.0,36.962273288726806,0.0
47,PETCT_ded50b1e68_02092006.nii.gz,0.0,118.83663226318359,0.0
48,PETCT_048981112f_07312005.nii.gz,0.0,0.18661531448364257,0.0
49,PETCT_562294be56_11152003.nii.gz,,0.0,0.0
50,PETCT_ce629e2993_01132005.nii.gz,,0.0,0.0
51,PETCT_562294be56_10212002.nii.gz,,0.0,0.0
52,PETCT_770ee48d09_07152005.nii.gz,0.7010352399874517,10.599749862670897,0.18661531448364257
53,PETCT_54bed1d98f_05242003.nii.gz,0.0,0.6593741111755371,0.0
54,PETCT_2f9aec0275_10172003.nii.gz,,0.0,0.0
55,PETCT_20a607649d_01272007.nii.gz,0.03796581675539367,3.2719885139465332,166.42353745651243
56,PETCT_442a09f90e_03162002.nii.gz,0.6862734945373583,1.8412711029052735,23.861878211975096
57,PETCT_099b3fd402_01032003.nii.gz,0.0,1.5675686416625976,11.557708477020263
58,PETCT_2b60c8135a_12092005.nii.gz,0.8604493746337718,14.157881858825684,15.9245068359375
59,PETCT_3a4be713a1_11142002.nii.gz,0.5027214250371104,0.06220510482788086,7.613904830932617
60,PETCT_ae8c77a995_05182007.nii.gz,0.0,0.0,6.369802734375
61,PETCT_f082a3d319_11082004.nii.gz,,0.0,0.0
62,PETCT_1e43e3d692_09192002.nii.gz,0.0,4.341916316986084,0.0
63,PETCT_b2244b5591_05152003.nii.gz,0.6540842969041403,0.1741742935180664,7.900048313140869
64,PETCT_e2a729e21f_12232002.nii.gz,0.0,43.99145013427734,0.0
65,PETCT_baacf43b4f_02242003.nii.gz,0.3863467721988622,0.0,26.997015495300293
66,PETCT_38106fde84_02132003.nii.gz,,0.0,0.0
67,PETCT_816732638d_08182000.nii.gz,0.8128167994207096,0.0,1.1445739288330077
68,PETCT_9b53627d23_02112006.nii.gz,,0.0,0.0
69,PETCT_a9d7a14ba1_08142000.nii.gz,0.28992882693513294,0.0,48.868330352783204
70,PETCT_2f9aec0275_05312003.nii.gz,0.8748104439739952,1.3933943481445312,0.012441020965576172
71,PETCT_e44480b9b8_05262002.nii.gz,0.6463240542469665,3.9438036460876464,0.012441020965576172
72,PETCT_53a0610615_07142001.nii.gz,0.7831539990405044,0.0,3.707424247741699
73,PETCT_f37014ec85_01142007.nii.gz,0.8761083743842365,2.973404010772705,0.0
74,PETCT_aaf2c3aa12_12052002.nii.gz,0.0,11.806528896331788,0.0
75,PETCT_4d7b745a7b_01232003.nii.gz,0.8136489470901117,0.0,10.72416007232666
76,PETCT_41472f5ce9_03162003.nii.gz,0.8659916955804562,6.20806946182251,0.0
77,PETCT_1f6b6b0548_10162003.nii.gz,0.0,0.0,1.2192200546264649
78,PETCT_a7b323b3fd_04012005.nii.gz,0.5053191489361702,0.0,0.0
79,PETCT_5e0bc6cdda_10272001.nii.gz,0.4659045326915363,1.9905633544921875,6.643505195617676
80,PETCT_7255ccbcf4_06152003.nii.gz,,0.0,0.0
81,PETCT_2d9638360e_09092005.nii.gz,,0.0,0.0
82,PETCT_14f931f634_06092005.nii.gz,0.6760609005506965,1.8412711029052735,5.561136371612549
83,PETCT_a82f03863a_03192007.nii.gz,0.900023089355807,2.251824794769287,6.096100273132324
84,PETCT_9d6699f215_06162003.nii.gz,0.5311077389984825,6.730592342376709,0.0
85,PETCT_e2309b8f92_06032007.nii.gz,0.0,0.26126144027709963,0.0
86,PETCT_4011ffe8ae_02072005.nii.gz,0.0,0.0,7.514376663208008
87,PETCT_13d0984c93_09082003.nii.gz,0.8990377153499922,0.0,0.0
88,PETCT_5d6bf1e75f_12102000.nii.gz,0.8449653702717101,0.024882041931152343,0.0
89,PETCT_30001118d0_04031999.nii.gz,0.9180874293992903,1.6173327255249024,23.090534912109376
90,PETCT_68a7ade33c_07082001.nii.gz,0.8561608523801341,9.517381038665771,9.256119598388672
91,PETCT_a41d59682f_09292006.nii.gz,0.0,356.28595841217043,0.0
92,PETCT_dc3437c9b9_11212002.nii.gz,,0.0,0.0
93,PETCT_38733c001e_07282006.nii.gz,,0.0,0.0
94,PETCT_ddca6cfba6_02272004.nii.gz,0.7890675885565409,4.901762260437011,0.024882041931152343
