,Unnamed: 0,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN,num_pred_conn_comps,num_gt_conn_comps
527,527,,0,0,,52960000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9a66a81ad1_10212005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9a66a81ad1_10212005.nii.gz,,0.0,0.0,0,0
528,528,0.0,0,2852,0.0,105757148,0,2852,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9a66a81ad1_10312004.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9a66a81ad1_10312004.nii.gz,0.0,35.48179179382324,0.0,5,0
529,529,0.0,0,320,0.0,52159680,0,320,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9a83943958_08032003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9a83943958_08032003.nii.gz,0.0,3.981126708984375,0.0,5,0
530,530,0.7709212295423988,7482,2400,0.6272350056582422,52133490,16628,19028,24110,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9aa97cf103_07182004.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9aa97cf103_07182004.nii.gz,0.7709212295423988,5.411844120025635,9.77864247894287,34,22
531,531,0.761699064074874,88,243,0.6151162790697674,52159140,529,772,617,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9abb9583ec_05302002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9abb9583ec_05302002.nii.gz,0.761699064074874,0.1244102096557617,0.3483485870361328,14,10
532,532,0.0,0,137,0.0,52159863,0,137,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9ad7dffae6_05222003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9ad7dffae6_05222003.nii.gz,0.0,1.7044198722839354,0.0,3,0
533,533,0.8040518299069336,10871,2225,0.6723132741148505,52120035,26869,29094,37740,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9afd440677_03172003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9afd440677_03172003.nii.gz,0.8040518299069336,0.0,41.08025122833252,10,12
534,534,0.0,0,455,0.0,52159545,0,455,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9b1bb2165a_10132002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9b1bb2165a_10132002.nii.gz,0.0,5.660664539337158,0.0,3,0
535,535,0.833219483391416,13724,681,0.7141184408986266,45389612,35983,36664,49707,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9b982e72cb_09152001.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9b982e72cb_09152001.nii.gz,0.833219483391416,1.8661531448364257,6.892325614929199,18,18
536,536,0.0,0,496,0.0,45439504,0,496,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9b9d67b3ff_07122003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9b9d67b3ff_07122003.nii.gz,0.0,6.170746398925781,0.0,5,0
