,image,DICE,challenge_FP,challenge_FN
82,PETCT_0fa313309d_10032005.nii.gz,,0.0,0.0
83,PETCT_04606080a0_02202003.nii.gz,0.8285871761896013,0.359,0.0
84,PETCT_eeeda112bb_06072003.nii.gz,0.8952915362756735,0.0,0.0
85,PETCT_f637b5930b_07272003.nii.gz,0.8814814814814815,0.0,0.0
86,PETCT_f15b868db6_02032006.nii.gz,,0.0,0.0
87,PETCT_44d6ba6772_07132003.nii.gz,0.0,0.018000000000000002,0.0
88,PETCT_d626611daf_11292002.nii.gz,0.9022389412617839,0.0,0.003
89,PETCT_9c9a347388_09092000.nii.gz,0.6380977612928864,0.0,0.9400000000000001
90,PETCT_a09210d96b_12112005.nii.gz,,0.0,0.0
91,PETCT_b4247b8ecd_05272007.nii.gz,,0.0,0.0
92,PETCT_48a34ccdf0_02152003.nii.gz,0.0,0.339,0.0
93,PETCT_9b1bb2165a_10132002.nii.gz,,0.0,0.0
94,PETCT_080922db5a_01282006.nii.gz,0.0,0.163,0.0
95,PETCT_efd619ecbf_02232003.nii.gz,0.8322822822822823,0.353,0.0
96,PETCT_5255c79083_10202001.nii.gz,0.70070608072505,0.0,1.985
97,PETCT_c7fd7e3e30_11132003.nii.gz,0.0,0.064,0.0
98,PETCT_6c469107a0_06232002.nii.gz,0.8227148472574176,0.202,0.923
99,PETCT_ac11b344b6_11032002.nii.gz,0.5509567563011043,0.0,0.166
100,PETCT_aa27cb9156_12142003.nii.gz,0.7798116139056127,0.901,0.0
101,PETCT_302613f9a5_04062007.nii.gz,0.0,0.228,0.0
102,PETCT_c10f48b173_11272004.nii.gz,0.0,0.496,0.0
103,PETCT_6c660140ca_08062006.nii.gz,0.8518627163391024,0.073,0.0
104,PETCT_dd6165ae36_06012006.nii.gz,,0.0,0.0
105,PETCT_2b8064fbe2_06112006.nii.gz,0.0,0.07200000000000001,0.0
106,PETCT_d325897ff4_11122005.nii.gz,0.0,0.015,0.0
107,PETCT_a22ec7f62b_06302007.nii.gz,,0.0,0.0
108,PETCT_e1a5b05186_02272005.nii.gz,0.0,0.893,0.0
109,PETCT_d626611daf_06192005.nii.gz,,0.0,0.0
110,PETCT_3708f576ec_03082002.nii.gz,0.8705381766606256,0.146,0.002
111,PETCT_41bd54f97a_03252007.nii.gz,,0.0,0.0
112,PETCT_185bac7954_01222005.nii.gz,0.0,0.041,0.0
113,PETCT_20995a0fe1_12022005.nii.gz,0.8783783783783784,0.0,0.0
114,PETCT_43323b7d42_05272001.nii.gz,0.8427115112731602,0.0,1.099
115,PETCT_9f7c68f5ca_12212001.nii.gz,0.8256880733944955,0.0,0.0
116,PETCT_ebaa30ba2e_04172003.nii.gz,0.0,0.021,0.0
117,PETCT_63508c679d_08212005.nii.gz,0.0,0.115,0.0
118,PETCT_a4cd2b10de_10152006.nii.gz,,0.0,0.0
119,PETCT_e8624bab41_07072007.nii.gz,,0.0,0.0
120,PETCT_846c1af245_12062002.nii.gz,0.0,0.01,0.0
121,PETCT_ba717a1f22_03282003.nii.gz,0.8633723377388669,0.032,0.5740000000000001
122,PETCT_34d3efa936_10222004.nii.gz,,0.0,0.0
123,PETCT_dc15c1d9bb_06032005.nii.gz,,0.0,0.0
124,PETCT_a1bc00ad60_03062003.nii.gz,0.9381443298969072,0.0,0.002
125,PETCT_d5103c8fbf_04142006.nii.gz,0.9151418969380134,0.025,0.0
126,PETCT_59e6d1de22_08062005.nii.gz,0.8262975778546713,0.0,0.025
127,PETCT_13f476b02b_11192001.nii.gz,0.8633853249984828,0.225,0.0
128,PETCT_ec581d49ef_03252002.nii.gz,0.8706600534147272,0.0,0.013000000000000001
129,PETCT_a37b4bca43_06232002.nii.gz,,0.0,0.0
130,PETCT_e9feb1135e_09092005.nii.gz,,0.0,0.0
131,PETCT_fde66dd53a_12222005.nii.gz,0.5961783439490446,0.0,0.242
132,PETCT_6d6a193655_11172002.nii.gz,0.8796788420219382,0.0,0.107
133,PETCT_d6de1252d9_05132007.nii.gz,0.30950901180857676,0.026000000000000002,1.04
134,PETCT_ad7c6a4a58_03282003.nii.gz,0.5782217887550413,0.01,2.943
135,PETCT_e344879c2e_11172006.nii.gz,0.0,0.218,0.0
136,PETCT_5fa9d9a820_09152002.nii.gz,0.0,0.14,0.0
137,PETCT_a4ccc397a9_11302002.nii.gz,0.0,38.61,0.0
138,PETCT_52f84711a5_04012006.nii.gz,,0.0,0.0
139,PETCT_8b14e6a819_01292006.nii.gz,0.0,0.042,0.0
140,PETCT_9da159b835_03232002.nii.gz,0.3545989847715736,0.0,6.7090000000000005
141,PETCT_e0fdc6212a_05292003.nii.gz,,0.0,0.0
142,PETCT_0011f3deaf_03232003.nii.gz,0.6161772282328697,0.032,0.0
143,PETCT_74bbceaeeb_06032005.nii.gz,0.6578947368421053,0.0,0.0
144,PETCT_b663adb148_06212007.nii.gz,0.0,0.202,0.0
145,PETCT_af119148fe_02112005.nii.gz,,0.0,0.0
146,PETCT_06e7c24059_04222005.nii.gz,0.5819052537677826,0.364,5.407
147,PETCT_aee7d68f86_04152002.nii.gz,0.93968191923387,0.0,0.0
148,PETCT_0410759456_08222003.nii.gz,0.0,0.5710000000000001,0.0
149,PETCT_05808cf24e_03182006.nii.gz,,0.0,0.0
150,PETCT_e79291780d_05142007.nii.gz,0.6764705882352942,0.0,0.0
151,PETCT_ac700ab4db_12042004.nii.gz,0.0,1.343,0.0
152,PETCT_cdd237e9b3_04162005.nii.gz,0.8694869486948695,0.0,0.006
153,PETCT_39159c05c2_02232001.nii.gz,0.7123745819397993,0.0,4.7860000000000005
154,PETCT_4f7a8f41c0_05272001.nii.gz,0.6841200849085212,0.0,4.837
155,PETCT_792d7b6ad0_04042005.nii.gz,0.0,0.034,0.0
156,PETCT_fde79b6aa9_05092005.nii.gz,0.9031068983675619,0.17300000000000001,0.0
157,PETCT_af547fa618_03112006.nii.gz,0.0,1.62,0.0
158,PETCT_b3e923029c_11212003.nii.gz,,0.0,0.0
159,PETCT_ca9570a0eb_09282002.nii.gz,0.0,0.156,0.0
160,PETCT_c2a51a65c6_09152002.nii.gz,0.8697084299133829,0.0,0.002
161,PETCT_36d8219e3f_02092006.nii.gz,0.7628734901462174,1.52,0.435
162,PETCT_69ee62b035_12262002.nii.gz,,0.0,0.0
163,PETCT_147a9fcff3_08162001.nii.gz,0.8985837465933968,0.0,0.321
164,PETCT_a19ef8e0d2_12261999.nii.gz,0.0,0.042,126.834
165,PETCT_d539f5a88b_06232003.nii.gz,0.0,0.075,0.0
166,PETCT_e90a287d09_02242003.nii.gz,,0.0,0.0
167,PETCT_eca59074b9_07202002.nii.gz,0.0,0.046,0.0
168,PETCT_ae6a37a9d6_09132003.nii.gz,,0.0,0.0
169,PETCT_73597f33fe_02102007.nii.gz,0.8800988875154512,0.124,0.184
170,PETCT_1928952a0f_06202003.nii.gz,0.0,0.431,0.0
171,PETCT_8311aeddb9_12162005.nii.gz,,0.0,0.0
172,PETCT_a86b3fad40_07182003.nii.gz,0.8924788702257409,0.0,0.0
173,PETCT_63dd9503eb_01182001.nii.gz,0.8724065239099079,0.0,0.213
174,PETCT_40a125468a_07032004.nii.gz,0.7777373590396508,0.309,0.03
175,PETCT_448225c237_01162006.nii.gz,,0.0,0.0
176,PETCT_95efdaba3c_10112003.nii.gz,0.5327102803738317,0.025,0.0
177,PETCT_61d5bc58fc_06182005.nii.gz,0.0,0.092,0.0
178,PETCT_e9e1a391b5_10112001.nii.gz,0.808422362825433,0.0,0.0
179,PETCT_9a66a81ad1_10312004.nii.gz,0.0,0.08700000000000001,0.0
180,PETCT_7c1e6175e0_01302005.nii.gz,,0.0,0.0
181,PETCT_979f9c3dba_06222006.nii.gz,0.9148017275225756,0.0,0.0
182,PETCT_389462c0ac_03032005.nii.gz,0.0,0.037,0.0
183,PETCT_4c75fa4a5d_04192001.nii.gz,0.45182601635018177,0.0,41.019
184,PETCT_80b8393c44_07222002.nii.gz,,0.0,0.0
185,PETCT_f9e0c504af_06292003.nii.gz,0.9651053127947187,0.0,0.001
186,PETCT_2b29531d8c_10162005.nii.gz,0.8547848664688428,0.168,0.0
187,PETCT_f7067b7bbb_05262001.nii.gz,0.7313703820650458,0.0,1.696
188,PETCT_1a3d4e63ee_07032004.nii.gz,0.0,0.07,0.0
189,PETCT_a19c2a0c65_03052006.nii.gz,,0.0,0.0
190,PETCT_ba81e4b04b_12022005.nii.gz,,0.0,0.0
191,PETCT_456d14846b_09012003.nii.gz,0.9444796284568292,0.07200000000000001,0.0
192,PETCT_c5a143a604_08122006.nii.gz,,0.0,0.0
193,PETCT_ef9d41b836_05212001.nii.gz,0.8154311556185532,0.154,1.881
194,PETCT_ddbb3c69f0_08112003.nii.gz,0.7633482401358297,7.573,0.112
195,PETCT_d4112bc7ba_01292001.nii.gz,0.8021660503930007,0.621,3.096
196,PETCT_bd52fdf529_12032000.nii.gz,0.6424759871931697,0.0,0.561
197,PETCT_527c5afc5d_07182003.nii.gz,0.9013932328689224,0.134,0.04
198,PETCT_22d07bdc49_01052003.nii.gz,0.875058934464875,0.024,0.0
199,PETCT_5e8b013935_12162001.nii.gz,0.48754683711703767,0.0,1.964
200,PETCT_5420205a5f_12072006.nii.gz,,0.0,0.0
201,PETCT_5de3ac617a_11132005.nii.gz,0.9362012395187751,0.0,0.0
202,PETCT_d69eabbb20_02012001.nii.gz,0.6808510638297872,1.039,6.049
203,PETCT_9c8842d12e_01252004.nii.gz,0.9206728787004206,0.195,0.004
204,PETCT_0cda25453b_10122003.nii.gz,0.45837597330367075,1.161,7.538
205,PETCT_a471649d35_05062002.nii.gz,0.6795398520953163,0.9460000000000001,0.073
206,PETCT_404f8c732f_06142007.nii.gz,,0.0,0.0
207,PETCT_0fa313309d_04232005.nii.gz,0.5896656534954408,0.017,0.09
208,PETCT_d31c9ebd93_07212003.nii.gz,0.8230889403652427,0.0,0.026000000000000002
209,PETCT_d27451634d_03122005.nii.gz,,0.0,0.0
210,PETCT_4404466919_09102005.nii.gz,0.19298245614035087,0.996,0.0
211,PETCT_a29cae0316_06292006.nii.gz,,0.0,0.0
212,PETCT_5a274a0f26_11082004.nii.gz,0.0,0.116,0.0
213,PETCT_3eac8f16d4_09302001.nii.gz,0.86691776522285,0.0,0.783
214,PETCT_86153b2974_06052003.nii.gz,0.8324374853937836,0.039,1.124
215,PETCT_0ea07b421b_10272001.nii.gz,0.8520684163820036,0.0,2.476
216,PETCT_ae4dcc5dd3_10082004.nii.gz,,0.0,0.0
217,PETCT_249dd35d0c_05202005.nii.gz,0.7813300957776879,0.405,0.668
218,PETCT_d6b2218bf3_12182004.nii.gz,,0.0,0.0
219,PETCT_1fa22c576e_10172004.nii.gz,,0.0,0.0
220,PETCT_245182006a_11042000.nii.gz,0.0,0.0,0.154
221,PETCT_4776e75543_04012007.nii.gz,0.9538273165336915,0.011,0.0
222,PETCT_90ea6a6aaf_07272001.nii.gz,0.8809263709853616,0.166,0.016
223,PETCT_a4ff5d0d9d_05302005.nii.gz,0.5782460087396704,8.518,2.861
224,PETCT_dc6174cb5d_03292003.nii.gz,0.8569137386498223,0.218,0.8300000000000001
225,PETCT_13b40a817b_02182001.nii.gz,0.519139426948096,2.2800000000000002,9.452
226,PETCT_c73c2685c0_02012001.nii.gz,0.6143966125617502,0.035,4.21
227,PETCT_7f2a604e03_05052002.nii.gz,0.6105990783410138,0.0,0.231
228,PETCT_21853fc15b_10122002.nii.gz,0.8929121725731896,0.0,0.001
229,PETCT_3f3df20439_05092005.nii.gz,,0.0,0.0
230,PETCT_265c26907a_11102005.nii.gz,0.0,0.07200000000000001,0.0
231,PETCT_d472033d3b_09282002.nii.gz,0.0,0.096,0.0
232,PETCT_3049d4f1a4_02242002.nii.gz,0.7548740861088545,0.0,0.264
233,PETCT_ac75e49284_11132004.nii.gz,0.09492047203694202,1.299,0.891
