,image,DICE,challenge_FP,challenge_FN
0,PETCT_b1219c408b_10042002.nii.gz,0.7539423449344326,0.0,8.733596717834473
1,PETCT_ca89066e44_08112005.nii.gz,0.8395376508584056,0.037323062896728515,0.024882041931152343
2,PETCT_a3ce52b2a8_11152003.nii.gz,0.0,1.59245068359375,0.0
3,PETCT_99e5728030_04182002.nii.gz,0.755413598960589,30.791526889801023,2.17717866897583
4,PETCT_68ef307665_05162003.nii.gz,,0.0,0.0
5,PETCT_f144b214af_02232001.nii.gz,0.6306494143619304,0.0,0.024882041931152343
6,PETCT_e69152b6b4_01262004.nii.gz,0.6368716964616369,2.239383773803711,33.304613124847414
7,PETCT_4a72eeb991_12232005.nii.gz,,0.0,0.0
8,PETCT_89fb723947_09032000.nii.gz,0.8697744007979582,0.2985845031738281,0.0
9,PETCT_562294be56_04282003.nii.gz,,0.0,0.0
10,PETCT_824c6a0014_12182005.nii.gz,0.0,0.48519981765747067,0.0
11,PETCT_661ddc60e0_03082002.nii.gz,0.8164251207729468,0.0,0.23637939834594726
12,PETCT_4760c0139a_01262006.nii.gz,,0.0,0.0
13,PETCT_2922971d0f_07192003.nii.gz,0.0,15.252691703796387,0.0
14,PETCT_d7ca3d4aaa_07052003.nii.gz,0.7948717948717948,0.19905633544921875,0.0
15,PETCT_c7dc6f848c_02022006.nii.gz,0.0,28.452614948272704,0.0
16,PETCT_2f587d00b1_09272004.nii.gz,0.0,2.5877323608398437,0.0
17,PETCT_277fc3c67c_11152003.nii.gz,0.0,31.00302424621582,0.0
18,PETCT_c58b637e17_06112005.nii.gz,,0.0,0.0
19,PETCT_ed7abf4433_12062002.nii.gz,,0.0,0.0
20,PETCT_8de70b5cd7_07222002.nii.gz,,0.0,0.0
21,PETCT_572fca6b44_05232005.nii.gz,0.0,0.1741742935180664,0.0
22,PETCT_ed9fa4eff1_05112001.nii.gz,0.6359674421585593,42.361676387786865,29.37325049972534
23,PETCT_a3ce52b2a8_10192002.nii.gz,,0.0,0.0
24,PETCT_08cdb15e0b_11212003.nii.gz,0.7487795719113781,0.37323062896728515,16.136004192352296
25,PETCT_cb83710e3d_03102006.nii.gz,,0.0,0.0
26,PETCT_76ebd5c736_12292005.nii.gz,0.4942528735632184,0.0,0.796225341796875
27,PETCT_ea051a3e6c_10222004.nii.gz,0.6806245882987005,8.44745323562622,213.26398139190673
28,PETCT_cc5c58c82d_07262001.nii.gz,0.9381879762912786,0.0,0.14929225158691406
29,PETCT_62a78a061f_08292005.nii.gz,0.0,0.024882041931152343,0.0
30,PETCT_61348439bf_07242005.nii.gz,0.7138037672195671,0.32346654510498046,4.528531631469726
31,PETCT_2745fb1adb_12212002.nii.gz,0.0,0.6096100273132324,0.0
32,PETCT_0dbf2c2731_10272005.nii.gz,,0.0,0.0
33,PETCT_5a58935b68_12062002.nii.gz,0.8027693136828141,18.636649406433104,2.674819507598877
34,PETCT_642d6c78d6_09102005.nii.gz,,0.0,0.0
35,PETCT_29b372cb99_11172006.nii.gz,,0.0,0.0
36,PETCT_02ba7e20f5_10122001.nii.gz,0.6686332350049164,1.306307201385498,0.2239383773803711
37,PETCT_4e3d83bfe3_09292003.nii.gz,,0.0,0.0
38,PETCT_bdd21f5590_09142003.nii.gz,0.8590102707749766,0.0,0.0
39,PETCT_9837205b34_09012002.nii.gz,0.8749453159177552,0.0,0.0
40,PETCT_0f44cec2e6_09072003.nii.gz,0.07506561679790026,39.97300036239624,1.2689841384887695
41,PETCT_642d6c78d6_05022005.nii.gz,0.9322846560567271,10.475339653015137,3.8691575202941895
42,PETCT_7cfaf65584_10282006.nii.gz,0.0,2.5130862350463867,0.0
43,PETCT_05d5a79faf_02252005.nii.gz,0.0,0.7091381950378418,0.0
44,PETCT_3ba0277c0c_04262007.nii.gz,0.9152542372881356,0.0,0.0
45,PETCT_e6b8b963b2_12222006.nii.gz,,0.0,0.0
46,PETCT_58f276897e_06192005.nii.gz,,0.0,0.0
47,PETCT_ded50b1e68_02092006.nii.gz,0.0,70.31665049743653,0.0
48,PETCT_048981112f_07312005.nii.gz,,0.0,0.0
49,PETCT_562294be56_11152003.nii.gz,,0.0,0.0
50,PETCT_ce629e2993_01132005.nii.gz,,0.0,0.0
51,PETCT_562294be56_10212002.nii.gz,,0.0,0.0
52,PETCT_770ee48d09_07152005.nii.gz,0.759936766034327,5.26255186843872,0.0
53,PETCT_54bed1d98f_05242003.nii.gz,0.0,0.7589022789001465,0.0
54,PETCT_2f9aec0275_10172003.nii.gz,,0.0,0.0
55,PETCT_20a607649d_01272007.nii.gz,0.0435640772592697,1.5800096626281739,165.90101457595824
56,PETCT_442a09f90e_03162002.nii.gz,0.6770482153368652,0.0,15.538835186004638
57,PETCT_099b3fd402_01032003.nii.gz,0.0,0.0,11.557708477020263
58,PETCT_2b60c8135a_12092005.nii.gz,0.884063257730189,1.082368824005127,15.153163536071776
59,PETCT_3a4be713a1_11142002.nii.gz,0.6338851022395326,0.0,0.0
60,PETCT_ae8c77a995_05182007.nii.gz,0.5772669220945083,0.09952816772460937,3.2222244300842284
61,PETCT_f082a3d319_11082004.nii.gz,,0.0,0.0
62,PETCT_1e43e3d692_09192002.nii.gz,0.0,0.6344920692443847,0.0
63,PETCT_b2244b5591_05152003.nii.gz,0.6481535330037802,0.0,13.461184684753418
64,PETCT_e2a729e21f_12232002.nii.gz,0.0,0.04976408386230469,0.0
65,PETCT_baacf43b4f_02242003.nii.gz,0.4372181343460717,0.0,26.997015495300293
66,PETCT_38106fde84_02132003.nii.gz,,0.0,0.0
67,PETCT_816732638d_08182000.nii.gz,0.8407601572739187,0.0,1.1445739288330077
68,PETCT_9b53627d23_02112006.nii.gz,,0.0,0.0
69,PETCT_a9d7a14ba1_08142000.nii.gz,0.3502238646862341,0.0,22.991006744384766
70,PETCT_2f9aec0275_05312003.nii.gz,0.935590120356808,1.16945597076416,0.012441020965576172
71,PETCT_e44480b9b8_05262002.nii.gz,0.7624143119879618,1.530245578765869,0.012441020965576172
72,PETCT_53a0610615_07142001.nii.gz,0.8394048229861467,0.0,11.682118686676025
73,PETCT_f37014ec85_01142007.nii.gz,0.9238414709901851,0.0,0.0
74,PETCT_aaf2c3aa12_12052002.nii.gz,0.0,0.5100818595886231,0.0
75,PETCT_4d7b745a7b_01232003.nii.gz,0.7777102070863874,0.0,10.72416007232666
76,PETCT_41472f5ce9_03162003.nii.gz,0.9062474851793235,0.0,0.0
77,PETCT_1f6b6b0548_10162003.nii.gz,0.0,0.0,1.2192200546264649
78,PETCT_a7b323b3fd_04012005.nii.gz,0.43454038997214484,0.0,0.0
79,PETCT_5e0bc6cdda_10272001.nii.gz,0.43754814570265216,0.0,6.643505195617676
80,PETCT_7255ccbcf4_06152003.nii.gz,,0.0,0.0
81,PETCT_2d9638360e_09092005.nii.gz,0.0,0.11196918869018554,0.0
82,PETCT_14f931f634_06092005.nii.gz,0.24603555982700626,0.16173327255249023,31.886336734771728
83,PETCT_a82f03863a_03192007.nii.gz,0.878500823723229,3.7198652687072755,8.945094074249267
84,PETCT_9d6699f215_06162003.nii.gz,0.8905852417302799,0.0,0.0
85,PETCT_e2309b8f92_06032007.nii.gz,0.0,0.6096100273132324,0.0
86,PETCT_4011ffe8ae_02072005.nii.gz,0.0,0.0,7.514376663208008
87,PETCT_13d0984c93_09082003.nii.gz,0.8693774203157582,0.0,0.0
88,PETCT_5d6bf1e75f_12102000.nii.gz,0.8590186592950932,0.0,0.0
89,PETCT_30001118d0_04031999.nii.gz,0.9341330327420942,1.0326047401428222,17.765777938842774
90,PETCT_68a7ade33c_07082001.nii.gz,0.8741185369543469,0.0,1.1445739288330077
91,PETCT_a41d59682f_09292006.nii.gz,0.0,29.398132541656494,0.0
92,PETCT_dc3437c9b9_11212002.nii.gz,,0.0,0.0
93,PETCT_38733c001e_07282006.nii.gz,0.0,2.9982860527038575,0.0
94,PETCT_ddca6cfba6_02272004.nii.gz,0.8041358182282359,0.0,0.04976408386230469
